MemoryType;BlockSize;ElementType;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read)
RAM;6,10E-05;int;1;chrono();4,00E-07;0,0046439;0,013143082;0,0046435;99,9913866;1,00E-07;0,00389452;0,015672061;0,00389442;99,9974323
RAM;0,3125;int;2;chrono();0,0001775;0,0046439;67,2925774;0,0044664;96,1777816;0,0001458;0,00389452;80,240954;0,00374872;96,2562781
RAM;2;int;3;chrono();0,0013729;0,0046439;430,672495;0,003271;70,4364866;0,001046;0,00389452;513,542105;0,00284852;73,1417479
RAM;6;int;4;chrono();0,0037098;0,0046439;1292,01749;0,0009341;20,1145589;0,0029077;0,00389452;1540,62632;0,00098682;25,338681
RAM;30;int;5;chrono();0,0179589;0,0046439;6460,08743;0,013315;286,720214;0,015373;0,00389452;7703,13158;0,01147848;294,734139
SSD;4;int;1;chrono();0,0030753;0,3740614;10,6934316;0,3709861;99,1778622;0,0057702;0,035690815;112,073653;0,029920615;83,8328152
SSD;8;int;2;chrono();0,0061997;0,3740614;21,3868632;0,3678617;98,3425983;0,0100333;0,035690815;224,147305;0,025657515;71,8882855
SSD;12;int;3;chrono();0,0073381;0,3740614;32,0802948;0,3667233;98,0382632;0,0063962;0,035690815;336,220958;0,029294615;82,0788626
SSD;16;int;4;chrono();0,02388;0,3740614;42,7737265;0,3501814;93,6160213;0,011394;0,035690815;448,29461;0,024296815;68,0758201
SSD;20;int;5;chrono();0,0460778;0,3740614;53,4671581;0,3279836;87,6817549;0,0135878;0,035690815;560,368263;0,022103015;61,9291406
SSD;24;int;6;chrono();0,0712175;0,3740614;64,1605897;0,3028439;80,9610134;0,0109451;0,035690815;672,441915;0,024745715;69,3335666
SSD;28;int;7;chrono();0,077646;0,3740614;74,8540213;0,2964154;79,2424452;0,0472954;0,035690815;784,515568;0,011604585;32,5142057
SSD;32;int;8;chrono();0,2028384;0,3740614;85,5474529;0,171223;45,774036;0,0354764;0,035690815;896,589221;0,000214415;0,600756805
SSD;36;int;9;chrono();0,2192565;0,3740614;96,2408845;0,1548049;41,3848903;0,0580057;0,035690815;1008,66287;0,022314885;62,5227667
